store,address,lat,lng
lidl,"Tullamore, New Street",53.2752768,-7.4924439
lidl,"Bagenalstown, Royal Oak Rd, Muine Bheag",52.70044,-6.965019
lidl,"Cavan, Creighan Athlone Road",53.9768572,-7.353827700000001
lidl,"Enniscorthy, Kiltealy Road",52.5068318,-6.581441099999999
lidl,"Monaghan, North Road",54.2528374,-6.9663485
lidl,"Kilkenny Johnswell Road, Johnswell Road",52.6613307,-7.237659600000001
lidl,"Kilkenny Waterford Rd, Waterford Road",52.6549027,-7.246402900000001
lidl,"Longford, Dublin Road",53.7259,-7.791980000000001
lidl,"Athlone, Dublin Road",53.4136288,-7.8974936
lidl,"Thomastown, Logan Street",52.532914,-7.138668
lidl,"Roscrea, Birr Road",52.95873,-7.80132
lidl,"Wexford, White Mill Industrial Estate",52.3291076,-6.4806678
lidl,"Birr, Tullamore Road",53.104803,-7.905887699999999
lidl,"New Ross, The Quay",52.39201,-6.949339999999999
lidl,"Templemore, Bradley's Row",52.794656,-7.829672200000001
lidl,"Roscommon, Lanesborough Road",53.6338715,-8.180289799999999
lidl,"Thurles, Slievenamon Road",52.67433,-7.81203
lidl,"Ballinasloe, Marine Point",53.3278389,-8.2199318
lidl,"Carrick on Shannon, Boyle Road",53.94121,-8.10521
lidl,"Waterford, Dunmore",52.2593197,-7.110070299999999
lidl,"Road Waterford, Tramore Road",52.2371384,-7.12116
lidl,"Carrick-on-Suir, Clonmel Road",52.3490135,-7.4239844
lidl,"Nenagh, Martyr's Road",52.86405,-8.19474
lidl,"Cashel, Cahir Road",52.5093626,-7.8906926
lidl,"Tramore, Ballycarnane",52.1639839,-7.162686000000001
lidl,"Clonmel-Davis Road, Davis Road",52.3569924,-7.6838699
lidl,"Clonmel- Queen Street, Queen Street",52.3569924,-7.6838699
lidl,"Castlerea, Knock Road",53.7690876,-8.4983987
lidl,"Tipperary Bank Place, Bank Place",52.4751575,-8.157923799999999
lidl,"Dungarvan, Ring Road",52.0930914,-7.6279297
lidl,"Sligo Cranmore Road, Cranmore Road",54.2673615,-8.460959599999999
lidl,"Limerick, Dublin Road",52.66795,-8.55165
lidl,"Tuam, Galway Road",53.50825,-8.87242
lidl,"Sligo Finisklin Road, Finisklin",54.2771968,-8.4930335
lidl,"Gort, Crowe Street",53.06953,-8.818959
lidl,"Limerick Corbally Road, Corbally Road",52.68660999999999,-8.60545
lidl,"Bundoran, Station Road",54.47764,-8.27482
lidl,"Oranmore, Limerick Road",53.26426,-8.926549999999999
lidl,"Limerick-Dock Road, Dock Road",52.6582436,-8.6390096
lidl,"Childers Road, Childers Road",52.64879999999999,-8.635259999999999
lidl,"Limerick- Caherdavin, Ennis Road",52.67122999999999,-8.65944
lidl,"Ballybofey, Donegal Road",54.7980139,-7.7850926
lidl,"Galway -Doughiska, Doughiska",53.274001,-9.051266199999999
lidl,"Donegal, Ballbofey Road, Drumlonagher",54.6604777,-8.0869921
lidl,"Mitchelstown Cork Road, Cork Road",52.2662127,-8.2698863
lidl,"Claremorris Kilcolman Road, Kilcolman Road",53.72394999999999,-8.99157
lidl,"Wellpark, Unit 5 6, Wellpark Retail Park, Wellpark Road",53.2812066,-9.031196999999999
lidl,"Galway-Headford, Headford Road",53.2867693,-9.0448274
lidl,"Galway Western Distributor Road, Western Distributor Road",53.2705268,-9.1007518
lidl,"Youghal, Mill Road",51.95819789999999,-7.856833999999999
lidl,"Shannon, Unit 66 Shannon Town Centre",52.7095581,-8.8798348
lidl,"Ennis, Gort Road",52.8649751,-8.9805687
lidl,"Fermoy Courthouse Road, Courthouse Road",52.1386698,-8.2671169
lidl,"Donegal-Port Road, Port Road",54.94905430000001,-7.71788
lidl,"Letterkenny, Pearse Road",54.9457311,-7.7350827
lidl,"Charleville Limerick Road, Limerick Road",52.36212399999999,-8.681949
lidl,"Buncrana, Ardaravan Square",55.1327858,-7.4509833
lidl,"Millford, Forquar",55.0798904,-7.6928752
lidl,"Ballina-Bohernasup, Bohernasup",54.11717,-9.15397
lidl,"Ballina, Bury Street",54.11273,-9.158170000000002
lidl,"Castlebar, Springfield Road",53.8580832,-9.2917259
lidl,"Midleton, Riverside Way",51.9140111,-8.1756541
lidl,"Mallow Park Road, N72",52.1369865,-8.650509999999999
lidl,"Newcastlewest, Sheehans Road",52.449774,-9.053625799999999
lidl,"Cork-Glanmire, Riverstown",51.9177097,-8.3981691
lidl,"Cobh, Tiknock",51.86232,-8.29647
lidl,"Dungloe, Carnmore Road",54.95075629999999,-8.349977599999999
lidl,"Cork-Ballyvolane, Ballyhooly Road",51.91761,-8.44693
lidl,"Westport, The Demesne",53.8026508,-9.524
lidl,"Cork-Churchfield, Mount Agnes Road",51.9116986,-8.49063
lidl,"Cork-Cornmarket, The Cornmarket Centre Unit 5",51.8994771,-8.4760618
lidl,"Kanturk, Banteer Road",52.171851,-8.9031783
lidl,"Cork-Togher, Clashduv Road",51.88151,-8.491819999999999
lidl,"Wilton, Bishopstown Road",51.88120000000001,-8.51233
lidl,"Carrigaline, Strand Road",51.8164452,-8.3912494
lidl,"Cork - Ballincollig West, Innishmore",51.8877181,-8.6103291
lidl,"Kinsale, Barrack's Lane",51.70821979999999,-8.51726
lidl,"Listowel, John B. Keane Road",52.44992000000001,-9.48273
lidl,"Macroom-Fair Green, Fair Green",51.9048039,-8.9588478
lidl,"Bandon, O'Mahony Avenue",51.74458,-8.74446
lidl,"Clifden, Galway Road",53.48819,-10.01363
lidl,"Castleisland, Tralee Road",52.2313944,-9.467055199999999
lidl,"Tralee-Edward Street, Edward Street",52.27004729999999,-9.7004101
lidl,"Tralee, Castlemaine Road",52.259,-9.69155
lidl,"Clonakilty, Youghals Co Cork",51.62054999999999,-8.88675
lidl,"Killarney, Limerick Road",52.663839,-8.626729899999999
lidl,"Kenmare, Railway Road Co. Kerry",51.8848406,-9.579559999999999
lidl,"Bantry, Glengariff Road",51.6818828,-9.4476669
lidl,"Skibbereen, Baltimore Road",51.54439,-9.266399999999999
lidl,"Dingle, Spa Road",52.1419,-10.26435
