school_name,publish_date,last_update_date,address,website,google_map,roll_number,local_name_of_school,school_Level,school_Level_Detail,principal_name,ethos,gender,language_of_Instruction,DEIS_indicator,transition_year_indicator,enrolment_total,enrolment_boys,enrolment_girls,free_education_indicator,fee_charging_indicator,day_boarding,inspection_reports
CASTLEMAINE N S,2021-07-07,2024-01-22,"CASTLEMAINE CO. KERRY , KERRY , KERRY , V93F864",http://www.stjosephscastlemaine.com,"https://maps.google.com/?q=52.16853,-9.702828",18832V,ST JOSEPH'S CASTLEMAINE,PRIMARY,ORDINARY,MAIREAD CURRAN,CATHOLIC,MIXED,ENGLISH,NO,NA,98,48,50,NA,NO,NA,
CASTLEMARTYR N S,2021-07-07,2024-01-22,"GORTNAHOMNAMORE CASTLEMARTYR CO. CORK , CORK , CORK , P25FK64",http://www.castlemartyrns.com,"https://maps.google.com/?q=51.91129,-8.051658",13647B,SCOIL IÓSAF NS,PRIMARY,ORDINARY,ANNE MARIE BARRY,CATHOLIC,MIXED,ENGLISH,NO,NA,245,110,135,NA,NO,NA,
CASTLEPLUNKETT N S,2021-07-07,2024-01-22,"CASTLEPLUNKETT CASTLEREA CO ROSCOMMON , ROSCOMMON , ROSCOMMON , F45YA40",,"https://maps.google.com/?q=53.751343,-8.347111",15545D,CASTLEPLUNKETT NATIONAL SCHOOL,PRIMARY,ORDINARY,KATHRINA GROGAN,CATHOLIC,MIXED,ENGLISH,NO,NA,40,23,17,NA,NO,NA,
CASTLEPOLLARD COMMUNITY COLLEGE,2021-07-07,2024-01-22,"CASTLEPOLLARD MULLINGAR CO WESTMEATH , WESTMEATH , WESTMEATH , N91EF89",http://www.lwetb.ie,"https://maps.google.com/?q=53.674583,-7.305084",71420W,CASTLEPOLLARD COMMUNITY COLLEGE,POST PRIMARY,VOCATIONAL,NATASHA GREVILLE,MULTI DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,YES,YES,314,155,159,YES,NO,NA,
CASTLEPOLLARD MIXED N S,2021-07-07,2024-01-22,"WATER STREET CASTLEPOLLARD CO. WESTMEATH , WESTMEATH , WESTMEATH , N91Y206",,"https://maps.google.com/?q=53.681557,-7.2961454",05513H,CASTLEPOLLARD NS,PRIMARY,ORDINARY,SEAN BEIRNE,CATHOLIC,MIXED,ENGLISH,YES,NA,147,85,62,NA,NO,NA,
CASTLEPOLLARD PAROC.N S,2021-07-07,2024-01-22,"PAKENHAMHALL ROAD CASTLEPOLLARD CO. WESTMEATH , WESTMEATH , WESTMEATH , N91C954",,"https://maps.google.com/?q=53.67946,-7.3022523",10857U,THE PAROCHIAL SCHOOL,PRIMARY,ORDINARY,WENDY GILLESPIE,CHURCH OF IRELAND,MIXED,ENGLISH,NO,NA,24,14,10,NA,NO,NA,
CASTLERAHAN CENTRAL NS,2021-07-07,2024-01-22,"CASTLERAHAN BALLYJAMESDUFF CO. CAVAN , CAVAN , CAVAN , A82N673",http://castlerahanns.scoilnet.ie/blog,"https://maps.google.com/?q=53.82096,-7.1798124",19418Q,CASTLERAHAN NATIONAL SCHOOL,PRIMARY,ORDINARY,DEIRDRE CLINTON,CATHOLIC,MIXED,ENGLISH,NO,NA,115,56,59,NA,NO,NA,
CASTLEREA COMMUNITY SCHOOL,2021-07-07,2024-01-22,"CASTLEREA CO. ROSCOMMON , ROSCOMMON , ROSCOMMON , F45ER02",,"https://maps.google.com/?q=53.76571,-8.483506",91493P,CASTLEREA COMMUNITY SCHOOL,POST PRIMARY,COMMUNITY,MS. EILEEN RYAN,INTER DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,YES,YES,350,181,169,YES,NO,NA,
CASTLEROCK N S,2021-07-07,2024-01-22,"DRUMMARTIN ACLARE CO. SLIGO , SLIGO , SLIGO , F91DV27",,"https://maps.google.com/?q=54.067047,-8.865515",13242V,CASTLEROCK NATIONAL SCHOOL,PRIMARY,ORDINARY,CARMEL BURKE,CATHOLIC,MIXED,ENGLISH,YES,NA,34,26,8,NA,NO,NA,
CASTLETARA N S,2021-07-07,2024-04-10,"CASTLETARA BALLYHAISE CO. CAVAN , CAVAN , CAVAN , H12PK74",http://castletarans.scoilnet.ie/blog,"https://maps.google.com/?q=54.030598,-7.2910733",14073G,CASTLETARA NATIONAL SCHOOL,PRIMARY,ORDINARY,TARA BRADY,CATHOLIC,MIXED,ENGLISH,NO,NA,190,91,99,NA,NO,NA,
CASTLETOWN N S,2021-07-07,2024-01-22,"CASTLETOWN KILPATRICK NAVAN CO MEATH , MEATH , MEATH , C15K225",,"https://maps.google.com/?q=53.778114,-6.71603",19292U,CASTLETOWN,PRIMARY,ORDINARY,BRIEN KEARNS,CATHOLIC,MIXED,ENGLISH,NO,NA,84,45,39,NA,NO,NA,
