school_name,publish_date,last_update_date,address,website,google_map,roll_number,local_name_of_school,school_Level,school_Level_Detail,principal_name,ethos,gender,language_of_Instruction,DEIS_indicator,transition_year_indicator,enrolment_total,enrolment_boys,enrolment_girls,free_education_indicator,fee_charging_indicator,day_boarding,inspection_reports
ABBEYSTREWRY N S,2021-07-07,2024-01-22,"CASTLETOWNSEND ROAD SKIBBEREEN CO. CORK , CORK , CORK , P81X386",,"https://maps.google.com/?q=51.54095,-9.261173",14433K,ABBEYSTREWRY NATIONAL SCHOOL,PRIMARY,ORDINARY,JEAN FULLER,CHURCH OF IRELAND,MIXED,ENGLISH,NO,NA,134,50,84,NA,NO,NA,
ABBEY VOCATIONAL SCHOOL,2021-07-07,2024-01-22,"THE GLEBE DONEGAL TOWN CO.DONEGAL , DONEGAL , DONEGAL , F94A409",http://www.avsdonegal.com,"https://maps.google.com/?q=54.648582,-8.11251",71180F,ABBEY VOCATIONAL SCHOOL,POST PRIMARY,VOCATIONAL,GERALDINE DIVER,MULTI DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,947,512,435,YES,NO,NA,
ACHADH NA SILEANN,2021-07-07,2024-01-22,"AUGHNASHEELIN BALLINAMORE CO. LEITRIM , LEITRIM , LEITRIM , N41NX92",http://www.stmarysnsaughnasheelin.ie,"https://maps.google.com/?q=54.068134,-7.8643274",19365V,ST MARY'S NS AUGHNASHEELIN,PRIMARY,ORDINARY,JEROME QUINN,CATHOLIC,MIXED,ENGLISH,YES,NA,51,32,19,NA,NO,NA,
ACHILL SOUND CONVENT NS,2021-07-07,2024-01-22,"THE POINTS ACHILL SOUND, ACHILL WESTPORT, , MAYO , MAYO , F28ER26",http://achillsoundns.ie,"https://maps.google.com/?q=53.92887,-9.928586",14863M,ACHILL SOUND CONVENT NS,PRIMARY,ORDINARY,LAURA EDEL MCGINTY,CATHOLIC,MIXED,IRISH AND ENGLISH,YES,NA,14,8,6,NA,NO,NA,
ADAMSTOWN CASTLE EDUCATE TOGETHER NATIONAL SCHOOL,2021-07-07,2024-01-22,"STATION ROAD ADAMSTOWN CO. DUBLIN , DUBLIN , DUBLIN COUNTY , K78KT91",http://www.acetns.ie,"https://maps.google.com/?q=53.336254,-6.45998",20268H,ACETNS,PRIMARY,ORDINARY,THOMAS MORIARTY,MULTI DENOMINATIONAL,MIXED,ENGLISH,NO,NA,439,230,209,NA,NO,NA,
ADAMSTOWN COMMUNITY COLLEGE,2021-07-07,2024-01-22,"STATION RD ADAMSTOWN LUCAN CO. DUBLIN , DUBLIN , DUBLIN COUNTY , K78WP89",http://www.adamstowncc.ie,"https://maps.google.com/?q=53.336235,-6.462283",76097U,ADAMSTOWN COMMUNITY COLLEGE,POST PRIMARY,VOCATIONAL,MR DAVE ANDERSON,MULTI DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,954,533,421,YES,NO,NA,
ADRIGOLE N S,2021-07-07,2024-01-22,"ADRIGOLE BANTRY CO. CORK , CORK , CORK , P75EC64",,"https://maps.google.com/?q=51.695656,-9.720692",16885J,ADRIGOLE NATIONAL SCHOOL,PRIMARY,ORDINARY,PADRAIG Ó CLUMHÁIN,CATHOLIC,MIXED,ENGLISH,NO,NA,20,8,12,NA,NO,NA,
AGHACASLA N S,2021-07-07,2024-01-22,"AUGHACASLA SOUTH CAMP TRALEE , KERRY , KERRY , V92Y312",http://aughacaslans.com/,"https://maps.google.com/?q=52.23416,-9.97462",14767Q,AUGHACASLA NATIONAL SCHOOL,PRIMARY,ORDINARY,DAVID DOYLE,CATHOLIC,MIXED,ENGLISH,NO,NA,100,48,52,NA,NO,NA,
AGHARDS N S,2021-07-07,2024-01-22,"SCOIL MOCHUA AGHARDS ROAD CELBRIDGE CO. KILDARE , KILDARE , KILDARE , W23YY00",http://www.scoilmochua.com,"https://maps.google.com/?q=53.348797,-6.5494037",19794V,SCOIL MOCHUA - AGHARDS,PRIMARY,ORDINARY,CATHERINE CARRAGHER,CATHOLIC,MIXED,ENGLISH,NO,NA,656,322,334,NA,NO,NA,
AGHATUBRID N S,2021-07-07,2024-01-22,"DIREEN CAHERCIVEEN CO. KERRY , KERRY , KERRY , V23KC04",,"https://maps.google.com/?q=51.89145,-10.228129",09878V,AGHATUBRID NATIONAL SCHOOL,PRIMARY,ORDINARY,SINEAD CLIFFORD O'SULLIVAN,CATHOLIC,MIXED,ENGLISH,NO,NA,50,27,23,NA,NO,NA,
AGLISH N S,2021-07-07,2024-01-22,"AGLISH CAPPOQUIN CO. WATERFORD , WATERFORD , WATERFORD , P51WA03",http://www.aglishns.eschools.co.uk,"https://maps.google.com/?q=52.073315,-7.823062",01395H,AGLISH NS,PRIMARY,ORDINARY,JENNIFER LYNCH,CATHOLIC,MIXED,ENGLISH,NO,NA,85,53,32,NA,NO,NA,
AIBHISTIN NAOFA,2021-07-07,2024-01-22,"CLONTUSKERT BALLINASLOE CO. GALWAY , GALWAY , GALWAY , H53X568",http://www.clontuskert.scoilnet.ie,"https://maps.google.com/?q=53.275967,-8.24369",17919F,CLONTUSKERT NATIONAL SCHOOL,PRIMARY,ORDINARY,KATE MURRAY,CATHOLIC,MIXED,ENGLISH,NO,NA,53,32,21,NA,NO,NA,
AINBHTHIN NAOFA,2021-07-07,2024-01-22,"ROSSCAHILL EAST ROSSCAHILL CO. GALWAY , GALWAY , GALWAY , H91VK31",http://www.stannins.ie,"https://maps.google.com/?q=53.390686,-9.248032",14590D,ST ANNIN'S NATIONAL SCHOOL,PRIMARY,ORDINARY,PÁDRAIG Ó DUINNEACHA,CATHOLIC,MIXED,ENGLISH,NO,NA,237,128,109,NA,NO,NA,
AINE NAOFA N S,2021-07-07,2024-01-22,"FAIRGREEN NAVAN CO. MEATH , MEATH , MEATH , C15E208",http://www.stannesnavan.ie,"https://maps.google.com/?q=53.651115,-6.6858745",00883P,ST ANNE'S LORETO PRIMARY SCHOOL,PRIMARY,ORDINARY,CLIODHNA O'BRIC,CATHOLIC,MIXED,ENGLISH,YES,NA,296,144,152,NA,NO,NA,
ALEXANDRA COLLEGE,2021-07-07,2024-01-22,"MILLTOWN DUBLIN 6 , DUBLIN , DUBLIN 6 , D06KX50",http://www.alexandracollege.eu,"https://maps.google.com/?q=53.310493,-6.250001",60910F,ALEXANDRA COLLEGE,POST PRIMARY,SECONDARY,MRS. BARBARA ENNIS,CHURCH OF IRELAND,GIRLS,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,658,0,658,NO,YES,NA,
ALL SAINTS NATIONAL SCHOOL,2021-07-07,2024-01-22,"MAIN STREET CARNEW CO. WICKLOW , WICKLOW , WICKLOW , Y14YY46",http://www.allsaintsnscarnew.com,"https://maps.google.com/?q=52.70978,-6.499884",14972R,ALL SAINTS NS CARNEW,PRIMARY,ORDINARY,ANDREA MCASSEY,CHURCH OF IRELAND,MIXED,ENGLISH,YES,NA,20,10,10,NA,NO,NA,
ALL SAINTS N S,2021-07-07,2024-01-22,"CARYSFORT AVENUE BLACKROCK CO. DUBLIN , DUBLIN , DUBLIN COUNTY , A94RC44",http://allsaintsnsblackrock.com,"https://maps.google.com/?q=53.289375,-6.1808724",10494K,ALL SAINTS NS BLACKROCK,PRIMARY,ORDINARY,AMANDA MACGOWAN,CHURCH OF IRELAND,MIXED,ENGLISH,NO,NA,60,31,29,NA,NO,NA,
ALMHAINE N S,2021-07-07,2024-01-22,"KILMEAGUE NAAS CO. KILDARE , KILDARE , KILDARE , W91AX99",,"https://maps.google.com/?q=53.241104,-6.852549",17567A,ALLEN NATIONAL SCHOOL,PRIMARY,ORDINARY,PERPETUA MCDONAGH,CATHOLIC,MIXED,ENGLISH,NO,NA,223,107,116,NA,NO,NA,
AN BHREAC CHLUAIN B,2021-07-07,2024-01-22,"ANNASCAUL TRALEE CO KERRY , KERRY , KERRY , V92T9P1",,"https://maps.google.com/?q=52.15364,-10.047933",16217O,AN BHREAC CHLUAIN B,PRIMARY,ORDINARY,MARY MURPHY,CATHOLIC,MIXED,ENGLISH,NO,NA,97,49,48,NA,NO,NA,
AN CHROI RO NAOFA N S,2021-07-07,2024-01-22,"MAIN STREET AUGHRIM CO. WICKLOW , WICKLOW , WICKLOW , Y14YH98",http://www.aughrimns.ie,"https://maps.google.com/?q=52.857,-6.320775",18473T,AUGHRIM NATIONAL SCHOOL,PRIMARY,ORDINARY,BRÍD KENNEDY OWENS,CATHOLIC,MIXED,ENGLISH,NO,NA,244,124,120,NA,NO,NA,
AN CHROI RO NAOFA SOIS,2021-07-07,2024-01-22,"KILLINARDEN TALLAGHT DUBLIN 24 , DUBLIN , DUBLIN 24 , D24FY81",http://sacredheartjns.ie,"https://maps.google.com/?q=53.276783,-6.381803",19652B,SACRED HEART JNS,PRIMARY,ORDINARY,ORLA MCLOUGHLIN,CATHOLIC,MIXED,ENGLISH,YES,NA,207,104,103,NA,NO,NA,
AN GHRIANAN N S,2021-07-07,2024-01-22,"MOUNT TEMPLE MOATE CO. WESTMEATH , WESTMEATH , WESTMEATH , N37K129",http://angriananns.ie,"https://maps.google.com/?q=53.424145,-7.7678485",18679Q,AN GRIANÁN NATIONAL SCHOOL,PRIMARY,ORDINARY,ANN KEARNS,CATHOLIC,MIXED,ENGLISH,NO,NA,180,87,93,NA,NO,NA,
AN LINBH IOSA,2021-07-07,2024-01-22,"BALLYCANE NAAS CO. KILDARE , KILDARE , KILDARE , W91Y266",http://www.holychildschoolnaas.com,"https://maps.google.com/?q=53.212532,-6.654018",19597T,HOLY CHILD NATIONAL SCHOOL NAAS,PRIMARY,ORDINARY,IRENE KEOGH,CATHOLIC,MIXED,ENGLISH,NO,NA,473,242,231,NA,NO,NA,
AN MHODH SCOIL,2021-07-07,2024-01-22,"ASCAILL UÍ CHONAILL LUIMNEACH , LIMERICK , LIMERICK , V94W891",http://www.modelschool.ie,"https://maps.google.com/?q=52.65518,-8.633831",19894C,AN MHODHSCOIL,PRIMARY,MODEL SCHOOL,ÉIBHEAR Ó DÉAGHAIDH,CATHOLIC,MIXED,ALL IRISH,NO,NA,589,271,318,NA,NO,NA,
ANNACARTY N S,2021-07-07,2024-01-22,"SHANAKNOCK ANNACARTY CO. TIPPERARY , TIPPERARY , TIPPERARY , E34X985",http://anacartyns.ie,"https://maps.google.com/?q=52.56612,-8.1123905",18528S,ANNACARTY NATIONAL SCHOOL,PRIMARY,ORDINARY,OLIVIA RYAN,CATHOLIC,MIXED,ENGLISH,NO,NA,90,55,35,NA,NO,NA,
ANNACURRA N S,2021-07-07,2024-01-22,"ANNACURRA TINAHELY CO. WICKLOW , WICKLOW , WICKLOW , Y14TX83",http://www.annacurrans.ie,"https://maps.google.com/?q=52.841534,-6.356266",17304O,ANNACURRA NATIONAL SCHOOL,PRIMARY,ORDINARY,ANNETTE DOLAN,CATHOLIC,MIXED,ENGLISH,NO,NA,127,66,61,NA,NO,NA,
ANNADUFF MXD N S,2021-07-07,2024-01-22,"ANTFIELD AUGHAMORE CARRICK ON SHANNON CO. LEITRIM , LEITRIM , LEITRIM , N41K309",,"https://maps.google.com/?q=53.902256,-7.954158",13656C,ANNADUFF NS,PRIMARY,ORDINARY,VINCENT J TIGHE,CATHOLIC,MIXED,ENGLISH,NO,NA,197,93,104,NA,NO,NA,
ANNAGH HILL NS,2021-07-07,2024-01-22,"BALLYGLUNIN TUAM CO. GALWAY , GALWAY , GALWAY , H54F104",http://www.annagh-hillns.ie,"https://maps.google.com/?q=53.42267,-8.814448",20448J,ANNAGH HILL NS,PRIMARY,ORDINARY,GERARD GREANEY,CATHOLIC,MIXED,ENGLISH,NO,NA,111,62,49,NA,NO,NA,
ANNAGH N S,2021-07-07,2024-01-22,"ANNAGH MILTOWN MALBAY CO. CLARE , CLARE , CLARE , V95NP38",,"https://maps.google.com/?q=52.822052,-9.414452",15221A,ANNAGH NATIONAL SCHOOL,PRIMARY,ORDINARY,MICHAEL KING,CATHOLIC,MIXED,ENGLISH,YES,NA,87,41,46,NA,NO,NA,
ANNALITTEN N S,2021-07-07,2024-01-22,"ANNALITTEN CASTLEBLAYENY CO. MONAGHAN , MONAGHAN , MONAGHAN , A75YX46",http://www.annalittenns.ie,"https://maps.google.com/?q=54.083126,-6.703595",13632L,ANNALITTEN NATIONAL SCHOOL,PRIMARY,ORDINARY,ANDREA O'CONNOR,CATHOLIC,MIXED,ENGLISH,NO,NA,25,14,11,NA,NO,NA,
ANNYALLA NATIONAL SCHOOL,2021-07-07,2024-01-22,"ANNYALLA CO. MONAGHAN , MONAGHAN , MONAGHAN , A75AY80",,"https://maps.google.com/?q=54.159885,-6.7861943",16842O,ST. MICHAEL'S N.S.,PRIMARY,ORDINARY,PATRICIA MURPHY,CATHOLIC,MIXED,ENGLISH,NO,NA,199,107,92,NA,NO,NA,
AN TAONAD REAMHSCOILE,2021-07-07,2024-01-22,"SRAID RUTHLAND BAILE ATHA CLIATH 1 , DUBLIN , DUBLIN 1 , D01VX01",,"https://maps.google.com/?q=53.35478,-6.252508",19361N,AN TAONAD REAMHSCOIL,SPECIAL EDUCATION,NON CAPITATION SCHOOL GRANT,MARK SHINNICK,CATHOLIC,MIXED,ENGLISH,NO,NA,97,56,41,NA,NO,NA,
AN TEAGHLAIGH NAOFA GIRLS JUNIOR NATIONAL SCHOOL,2021-07-07,2024-01-22,"MILITARY ROAD WATERFORD , WATERFORD , WATERFORD , X91XN28",http://www.mercywaterford.ie,"https://maps.google.com/?q=52.260056,-7.124683",18509O,HOLY FAMILY JNS,PRIMARY,ORDINARY,MICHELLE BRIGGS,CATHOLIC,MIXED,ENGLISH,YES,NA,250,0,250,NA,NO,NA,
ARCHBISHOP MCHALE COLLEGE,2021-07-07,2024-01-22,"DUBLIN ROAD, TUAM TUAM CO GALWAY GALWAY , GALWAY , GALWAY , H54KC66",http://archbishopmchalecollege.ie/,"https://maps.google.com/?q=53.510475,-8.845329",71390Q,ARCHBISHOP MCHALE COLLEGE,POST PRIMARY,VOCATIONAL,JOHN DAVID KEARNEY,MULTI DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,YES,YES,359,270,89,YES,NO,NA,
ARDAGH BOYS SENIOR NATIONAL SCHOOL,2021-07-07,2024-01-22,"ARDAGH ROSSCARBERY CO. CORK , CORK , CORK , P85E063",http://www.ardaghboysns.ie,"https://maps.google.com/?q=51.580303,-9.02959",12598J,ARDAGH BNS,PRIMARY,ORDINARY,ANNE MCCARTHY,CATHOLIC,MIXED,ENGLISH,NO,NA,56,56,0,NA,NO,NA,
ARDAGH NATIONAL SCHOOL,2024-03-06,2024-03-06,"BALLYMANAGH KNOCKANILLAUN ARDAGH BALLINA , MAYO , MAYO",,"https://maps.google.com/?q=54.124752,-9.232758",20576S,ARDAGH NATIONAL SCHOOL,PRIMARY,ORDINARY,FARNAN HARTE,CATHOLIC,MIXED,IRISH AND ENGLISH,NO,NA,0,0,0,NA,NO,NA,
ARDARA MIXED N S,2021-07-07,2024-01-22,"BACK ROAD ARDARA CO. DONEGAL , DONEGAL , DONEGAL , F94P279",,"https://maps.google.com/?q=54.764053,-8.411388",01733B,ARDARA NATIONAL SCHOOL,PRIMARY,ORDINARY,CLAUDIA MCGINLEY,CHURCH OF IRELAND,MIXED,ENGLISH,YES,NA,22,9,13,NA,NO,NA,
ARDEE COMMUNITY SCHOOL,2021-07-07,2024-01-22,"ARDEE CO LOUTH , LOUTH , LOUTH , A92F838",http://www.ardeecommunityschool.ie,"https://maps.google.com/?q=53.85118,-6.5462856",91441T,ARDEE COMMUNITY SCHOOL,POST PRIMARY,COMMUNITY,MS. MARY JACKSON,INTER DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,YES,YES,1187,642,545,YES,NO,NA,
ARDEE EDUCATE TOGETHER NS,2021-07-07,2024-01-22,"DUNDALK ROAD ARDEE CO. LOUTH , LOUTH , LOUTH , A92TW80",,"https://maps.google.com/?q=53.86292,-6.5415277",20171P,ARDEE ETNS,PRIMARY,ORDINARY,ANN MIDDLETON,MULTI DENOMINATIONAL,MIXED,ENGLISH,YES,NA,198,118,80,NA,NO,NA,
ARDEE MONASTERY,2021-07-07,2024-01-22,"DROGHEDA ROAD ARDEE CO. LOUTH , LOUTH , LOUTH , A92X788",http://www.monasterynsardee.ie,"https://maps.google.com/?q=53.852097,-6.537539",17124M,MONASTERY NS,PRIMARY,ORDINARY,JIM MCGEE,CATHOLIC,MIXED,ENGLISH,YES,NA,260,257,3,NA,NO,NA,
ARDEN BOYS NS,2021-07-07,2024-01-22,"ARDEN VIEW TULLAMORE CO. OFFALY , OFFALY , OFFALY , R35HN70",http://www.scoileoinphoil.ie,"https://maps.google.com/?q=53.281265,-7.495898",19713S,SCOIL EOIN PHÓIL II NAOFA,PRIMARY,ORDINARY,SIMON BYRNE,CATHOLIC,BOYS,ENGLISH,YES,NA,202,202,0,NA,NO,NA,
ARDFERT CENTRAL N S,2021-07-07,2024-01-22,"STATION ROAD ARDFERT CO. KERRY , KERRY , KERRY , V92CD63",http://www.ardfertns.ie,"https://maps.google.com/?q=52.323414,-9.7759905",19384C,ARDFERT CENTRAL NS,PRIMARY,ORDINARY,BETTY STACK,CATHOLIC,MIXED,ENGLISH,NO,NA,210,95,115,NA,NO,NA,
ARDFINNAN N S,2021-07-07,2024-01-22,"CLONMEL CO. TIPPERARY , TIPPERARY , TIPPERARY , E91X6F9",http://www.ardfinnanns.ie,"https://maps.google.com/?q=52.309155,-7.8809576",16077B,ARDFINNAN NATIONAL SCHOOL,PRIMARY,ORDINARY,BRID QUINLIVAN,CATHOLIC,MIXED,ENGLISH,NO,NA,229,134,95,NA,NO,NA,
ARDGILLAN COMMUNITY COLLEGE,2021-07-07,2024-01-22,"CASTLELANDS BALBRIGGAN CO DUBLIN , DUBLIN , DUBLIN COUNTY , K32KK33",http://www.ardgillancc.ie,"https://maps.google.com/?q=53.60131,-6.1784987",76129H,ARDGILLAN COMMUNITY COLLEGE,POST PRIMARY,VOCATIONAL,NUALA NI MHURCHU,MULTI DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,998,647,351,YES,NO,NA,
ARDKEERIN N S,2021-07-07,2024-01-22,"ARDEERAN RIVERSTOWN CO. SLIGO , SLIGO , SLIGO , F52E244",http://ardkeeranns.scoilnet.ie,"https://maps.google.com/?q=54.12872,-8.3958645",15217J,ARDEERAN NATIONAL SCHOOL,PRIMARY,ORDINARY,EDEL LAVIN,CATHOLIC,MIXED,ENGLISH,NO,NA,119,60,59,NA,NO,NA,
ARDLIOS N S,2021-07-07,2024-01-22,"ARLES BALLICKMOYLER CO. LAOIS , LAOIS , LAOIS , R93HY62",http://arlesnationalschool.ie,"https://maps.google.com/?q=52.891758,-7.0190234",18532J,ARLES NATIONAL SCHOOL,PRIMARY,ORDINARY,ANNETTE FITZPATRICK,CATHOLIC,MIXED,ENGLISH,YES,NA,48,29,19,NA,NO,NA,
ARD NA GCRAITH NS,2021-07-07,2024-01-22,"ARDNAGRATH WALDERSTOWN CO. WESTMEATH CO WESTMEATH , WESTMEATH , WESTMEATH , N37YY16",http://www.ardnagrathns.ie,"https://maps.google.com/?q=53.483128,-7.7905397",18764H,ARD NA GRATH NATIONAL SCHOOL,PRIMARY,ORDINARY,AMELIA TERESA KEENA,CATHOLIC,MIXED,ENGLISH,NO,NA,118,53,65,NA,NO,NA,
ARDPATRICK N S,2021-07-07,2024-01-22,"ARDPATRICK KILMALLOCK CO. LIMERICK , LIMERICK , LIMERICK , V35CC64",,"https://maps.google.com/?q=52.343407,-8.519031",08419H,ARDPATRICK NATIONAL SCHOOL,PRIMARY,ORDINARY,ANNE-MARIE O'KEEFFE,CATHOLIC,MIXED,ENGLISH,NO,NA,54,18,36,NA,NO,NA,
ARD RÍ COMMUNITY NATIONAL SCHOOL,2021-07-07,2024-01-22,"BALREASK OLD NAVAN CO. MEATH , MEATH , MEATH , C15D340",http://www.ardricns.ie,"https://maps.google.com/?q=53.640068,-6.671141",20352T,ARD RÍ CNS,PRIMARY,NON CAPITATION SCHOOL GRANT,MR DARRAGH ROE,MULTI DENOMINATIONAL,MIXED,ENGLISH,NO,NA,310,157,153,NA,NO,NA,
ARDSCOIL CHIARÁIN NAOFA,2021-07-07,2024-01-22,"FREDERICK ST. CLARA CO. OFFALY , OFFALY , OFFALY , R35H974",,"https://maps.google.com/?q=53.34063,-7.61243",72530L,ARD SCOIL CHIARÁIN NAOFA,POST PRIMARY,VOCATIONAL,MR ROGER GEAGAN,MULTI DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,YES,YES,341,187,154,YES,NO,NA,
ÁRDSCOIL LA SALLE,2021-07-07,2024-01-22,"RAHENY ROAD RAHENY DUBLIN 5 , DUBLIN , DUBLIN 5 , D05Y132",http://www.ardscoillasalle.ie,"https://maps.google.com/?q=53.388966,-6.169671",60291D,ARDSCOIL LA SALLE,POST PRIMARY,SECONDARY,MR. COLM MYTHEN,CATHOLIC,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,YES,YES,251,128,123,YES,NO,NA,
ARDSCOIL MHUIRE,2021-07-07,2024-01-22,"MACKNEY BALLINASLOE CO GALWAY , GALWAY , GALWAY , H53CP40",http://www.ardscoilmhuire.com,"https://maps.google.com/?q=53.322304,-8.246747",62890M,ARDSCOIL MHUIRE,POST PRIMARY,SECONDARY,MR. PAURIC HANLON,CATHOLIC,GIRLS,NO SUBJECTS TAUGHT THROUGH IRISH,YES,YES,472,0,472,YES,NO,NA,
ARDSCOIL MHUIRE,2021-07-07,2024-01-22,"CORBALLY LIMERICK , LIMERICK , LIMERICK , V94X47D",http://www.asmlimerick.ie,"https://maps.google.com/?q=52.67003,-8.614521",64290V,ARDSCOIL MHUIRE,POST PRIMARY,SECONDARY,MISS BRID HERBERT,CATHOLIC,GIRLS,NO SUBJECTS TAUGHT THROUGH IRISH,YES,YES,606,0,606,YES,NO,NA,
ARDSCOIL NA MARA,2021-07-07,2024-01-22,"SUMMERHILL TRAMORE , WATERFORD , WATERFORD , X91Y981",http://www.ardscoilnamara.ie,"https://maps.google.com/?q=52.158504,-7.162737",68141B,ARDSCOIL NA MARA,POST PRIMARY,SECONDARY,MR. PADRAIG CAWLEY,CATHOLIC,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,1218,636,582,YES,NO,NA,
ARDSCOIL NA MBRÁITHRE,2021-07-07,2024-01-22,"KICKHAM STREET CLONMEL CO TIPPERARY , TIPPERARY , TIPPERARY , E91AC03",http://www.cbshighschoolclonmel.ie,"https://maps.google.com/?q=52.356926,-7.6989107",65320J,HIGH SCHOOL CLONMEL,POST PRIMARY,SECONDARY,KAREN BRIDGET WHITE-STEENSON,CATHOLIC,BOYS,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,726,726,0,YES,NO,NA,
ARDSCOIL NA NDÉISE,2021-07-07,2024-01-22,"CONVENT ROW DUNGARVAN CO. WATERFORD , WATERFORD , WATERFORD , X35RR90",http://www.ardscoildungarvan.com,"https://maps.google.com/?q=52.087463,-7.619186",64900W,ARD SCOIL NA NDÉISE,POST PRIMARY,SECONDARY,MS. JENNIFER WILLIAMS,CATHOLIC,GIRLS,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,267,0,267,YES,NO,NA,
ÁRDSCOIL NA TRIONÓIDE,2021-07-07,2024-01-22,"RATHSTEWART ATHY CO KILDARE , KILDARE , KILDARE , R14DK12",http://ardscoil.ie,"https://maps.google.com/?q=52.996178,-6.983561",68077S,ÁRDSCOIL NA TRIONÓIDE,POST PRIMARY,SECONDARY,MS. IMELDA WHELAN,CATHOLIC,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,840,408,432,YES,NO,NA,
ARDSCOIL PHADRAIG,2021-07-07,2024-01-22,"GRANARD CO LONGFORD , LONGFORD , LONGFORD , N39RR79",http://www.ardscoilphadraig.com,"https://maps.google.com/?q=53.776775,-7.5047607",71710I,ARDSCOIL PHADRAIG,POST PRIMARY,VOCATIONAL,ROSEMARY JOHNSTON,MULTI DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,YES,YES,347,176,171,YES,NO,NA,
ARDSCOIL RATH IOMGHÁIN,2021-07-07,2024-01-22,"RATHANGAN CO KILDARE , KILDARE , KILDARE , R51DA36",http://www.ardscoilrathangan.ie,"https://maps.google.com/?q=53.218075,-6.994434",70730J,ARDSCOIL RATH IOMGHÁIN,POST PRIMARY,VOCATIONAL,MR PAUL MURPHY,MULTI DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,YES,YES,720,358,362,YES,NO,NA,
ARDSCOIL RIS,2021-07-07,2024-01-22,"NORTH CIRCULAR RD LIMERICK , LIMERICK , LIMERICK , V94V602",http://www.ardscoil.com,"https://maps.google.com/?q=52.665417,-8.641246",64201T,ARDSCOIL RIS,POST PRIMARY,SECONDARY,MR. THOMAS EDWARD PRENDERGAST,CATHOLIC,BOYS,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,735,735,0,YES,NO,NA,
ÁRDSCOIL RÍS,2021-07-07,2024-01-22,"GRIFFITH AVENUE MARINO DUBLIN 9 , DUBLIN , DUBLIN 9 , D09AK30",http://www.ardscoilrisdublin.ie,"https://maps.google.com/?q=53.369236,-6.2280707",60420L,ARDSCOIL RIS,POST PRIMARY,SECONDARY,MR. JOHN MC HUGH,CATHOLIC,BOYS,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,557,557,0,YES,NO,NA,
ÁRDSCOIL UÍ URMOLTAIGH,2021-07-07,2024-01-22,"BANDON CO CORK , CORK , CORK , P72C983",http://www.hamiltonhighschool.ie,"https://maps.google.com/?q=51.747025,-8.744194",62050O,HAMILTON HIGH SCHOOL,POST PRIMARY,SECONDARY,MS. LEONA FORAN,CATHOLIC,BOYS,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,429,429,0,YES,NO,NA,
ARDVARNEY MXD N S,2021-07-07,2024-01-22,"CASHEL DROMAHAIR CO. LEITRIM , LEITRIM , LEITRIM , F91K103",http://www.ardvarneyns.ie,"https://maps.google.com/?q=54.2212,-8.23819",15116D,ARDVARNEY NATIONAL SCHOOL,PRIMARY,ORDINARY,PAULA LOUGHLIN,CATHOLIC,MIXED,ENGLISH,YES,NA,36,20,16,NA,NO,NA,
ARKLOW CBS,2021-07-07,2024-01-22,"COOLGREANEY ROAD ARKLOW CO WICKLOW , WICKLOW , WICKLOW , Y14RV04",http://www.arklowcbs.ie,"https://maps.google.com/?q=52.797523,-6.16636",61770U,ARKLOW CBS,POST PRIMARY,SECONDARY,MR. PETER SOMERS,CATHOLIC,BOYS,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,379,379,0,YES,NO,NA,
ASHBOURNE COMMUNITY NATIONAL SCHOOL,2021-07-07,2024-04-10,"ASHBOURNE EDUCATION CAMPUS ASHBOURNE , MEATH , MEATH , A84R984",http://www.ashbournecns.ie,"https://maps.google.com/?q=53.511295,-6.411391",20546J,ASHBOURNE COMMUNITY NATIONAL SCHOOL,PRIMARY,NON CAPITATION SCHOOL GRANT,JENNY BYRNE,MULTI DENOMINATIONAL,MIXED,ENGLISH,NO,NA,208,103,105,NA,NO,NA,
