station,grid,address,lat,lng
Grangegorman, C2,"Grangegorman, Dublin, Ireland",53.3567836,-6.279264599999999
Greystones, F5,"Greystones, Co. Wicklow, Ireland",53.1491175,-6.0793414
Hansfield, B2,"Hansfield, Dublin, Ireland",53.4016056,-6.4243429
Harcourt, C3,"Harcourt St, Dublin, Ireland",53.3351648,-6.2632748
Harmonstown, E2,"Harmonstown, Dublin, Ireland",53.3840481,-6.196286100000001
Hazelhatch & Celbridge, B3,"Hazelhatch, Co. Dublin, Ireland",53.3221763,-6.5181809
Heuston, B3,"Dublin Heuston, Heuston Station Saint John's Road West, Saint James, Dublin, Ireland",53.3464596,-6.292984499999999
Hospital, B4,"Dublin, Ireland",53.3498053,-6.2603097
Howth, F2,"Howth, Howth, Dublin, Ireland",53.3890036,-6.074139799999999
Howth Junction & Donaghmede, E2,"Gabhal Bhinn Éadair & Domhnach Míde/Howth Junction and Donaghmede, Kilbarrack Upper, Dublin, Co. Dublin, Ireland",53.3915121,-6.1554153
James's, B3,"Dublin, Ireland",53.3498053,-6.2603097
Jervis, C3,"Jervis St, Dublin, Ireland",53.3484935,-6.2665385
Kilbarrack, E2,"Kilbarrack, Briarfield Rd, Raheny - Foxfield, Dublin, D05 KP62, Ireland",53.387314,-6.160873
Kilcock, B2,"Kilcock, Co. Kildare, Ireland",53.3994266,-6.6681233
Kilcoole, F5,"Kilcoole, Co. Wicklow, Ireland",53.1062723,-6.064586100000001
Kildare, A3,"Dublin, Ireland",53.3498053,-6.2603097
Kildare Street/ St. Stephen’s Green, C3,"Kildare St, Dublin, Ireland",53.3406449,-6.2554085
Killester, E2,"Killester, Middle Third, Clontarf East, Dublin 5, Ireland",53.37289800000001,-6.204223
Killiney, F4,"Killiney, Killiney, Dublin, Co. Dublin, Ireland",53.2557124,-6.1131232
Kilmacud, C4,"Dublin, Ireland",53.3498053,-6.2603097
Kingswood, B4,"Kingswood, Dublin, Ireland",53.3028764,-6.4123209
Kylemore, B4,"Kylemore, Dublin, Ireland",53.3338726,-6.351819700000001
Lansdowne Road, E4,"Lansdowne Road, Lansdowne Rd, Dublin, Ireland",53.333813,-6.22911
Laughanstown, D5,"Laughanstown, Co. Dublin, Ireland",53.245636,-6.1510126
Laytown, E1,"Ninch, Laytown, Co. Meath, Ireland",53.6853371,-6.241164299999999
Leixlip Confey, B2,"Leixlip, Co. Kildare, Ireland",53.36384280000001,-6.4900033
Leixlip Louisa Bridge, B2,"Leixlip, Co. Kildare, Ireland",53.36384280000001,-6.4900033
Leopardstown Valley, D5,"Leopardstown Valley, Dublin, Ireland",53.2605416,-6.1995212
Longford, A1,"Longford, Ireland",53.7276296,-7.7932573
M3 Parkway, B1,"Dublin, Ireland",53.3498053,-6.2603097
Malahide, E2,"Malahide, Co. Dublin, Ireland",53.4509236,-6.1501378
Marlborough, D3,"Dublin, Ireland",53.3498053,-6.2603097
Maynooth, B2,"Maynooth, Co. Kildare, Ireland",53.3815491,-6.5910382
Mayor Square NCI, E3,"Mayor Square - NCI, North Wall, Dublin 1, Co. Dublin, Ireland",53.349205,-6.243268
Milltown, C4,"Rathmines, Milltown, Co. Dublin, Ireland",53.3105987,-6.248039299999999
Monasterevin, A3,"Monasterevin, Co. Kildare, Ireland",53.1400651,-7.060377
Mullingar, A1,"Mullingar, Co. Westmeath, Ireland",53.5256075,-7.341880600000001
Museum, B3,"Dublin, Ireland",53.3498053,-6.2603097
Navan Road Parkway, C2,"Dublin, Ireland",53.3498053,-6.2603097
Newbridge, A3,"Dublin, Ireland",53.3498053,-6.2603097
O'Connell GPO, C3,"Dublin, Ireland",53.3498053,-6.2603097
O'Connell Upper, C3,"O'Connell Street Upper, Dublin, Ireland",53.3511781,-6.260969
