store,area,address,lat,lng
tesco,Dublin,Cabra Superstore Navan Road,53.3604932,-6.2996048
tesco,Dublin,Nutgrove Superstore Nutgrove Shopping Centre,53.2897472,-6.267505600000001
tesco,Dublin,Santry Superstore Omni Park Centre,53.3928317,-6.2484477
tesco,Dublin,Parkpointe Metro Park Pointe,53.2825527,-6.1446253
tesco,Dublin,Prussia Street Metro Park Shopping Centre,53.35621709999999,-6.2863906
tesco,Dublin,Phibsboro Metro Phibsboro Shopping Centre,53.3623148,-6.2733038
tesco,Dublin,Rathfarnham Superstore Rathfarnham Shopping Centre,53.2977099,-6.296716399999999
tesco,Dublin,Charlemont Square Exp,53.3310951,-6.2632251
tesco,Dublin,Spencer Dock Express,53.34994,-6.23947
tesco,Dublin,"Swords Express Ridgewood, Forrest Road,Swords",53.4447298,-6.2437875
tesco,Dublin,Blanchardstown Superstore Roselawn View,53.3826343,-6.381794800000001
tesco,Dublin,South Lotts Road Superstore,53.33775920000001,-6.2329982
tesco,Dublin,Stillorgan Superstore Stillorgan Schopping Centre,53.2885173,-6.2004241
tesco,Dublin,Ringsend Express The Bottleworks,53.3418611,-6.2267122
tesco,Dublin,Shankill Express The Bridge,53.2314885,-6.1236834
tesco,Dublin,Tallaght Superstore The Square Shopping Centre,53.2865928,-6.3717012
tesco,Dublin,Two Oaks,53.2794105,-6.311943599999999
tesco,Dublin,Malahide Express Unit 2 The Green,53.4509236,-6.1501378
tesco,Dublin,Cherrywood Express,53.24474540000001,-6.1420727
tesco,Dublin,"Parnell Street Metro Unit 2, Ivy Exchange",53.351538,-6.264034499999999
tesco,Dublin,Rosse Court,53.3419865,-6.4189954
tesco,Dublin,"Dundrum Superstore Unit 3, 21 Dundrum Town Centre",53.2865136,-6.2417482
tesco,Dublin,Donnybrook Express Unit 5 - 7 Donnybrook Mall,53.32257269999999,-6.2381224
tesco,Dublin,Cabinteely Express Unit 6 The Park Shopping Centre,53.262153,-6.1617542
tesco,Dublin,Dolphins Barn Express Unit 7/8 Dolphins Barn,53.3335324,-6.2914604
tesco,Dublin,Citywest,53.2820828,-6.4213667
tesco,Dublin,Smithfield Express,53.3475694,-6.277353199999999
tesco,Dublin,Newmarket Yards,53.3498053,-6.2603097
tesco,Dublin,Ballyfermot Superstore Upper Ballyfermot Road,53.3416958,-6.3531507
tesco,Dublin,Rathmines Express Upper Rathmines Road,53.3209823,-6.265899099999999
tesco,Dublin,Rathmines Metro Upper Rathmines Road,53.3209823,-6.265899099999999
tesco,Dublin,Rush Superstore Whitestown Road,53.52299499999999,-6.101765899999999
tesco,Dundalk,Dundalk Extra Avenue Road,53.9981612,-6.4045893
tesco,Dundalk,Longwalk Metro Longwalk Shopping Centre,54.0065992,-6.4058538
