store,name,address,lat,lng
dunnes_stores,Ashbourne,"Dunnes Stores, Frederick Street, Ashbourne, Co. Meath, A84 AK20",53.5128707,-6.400679100000001
dunnes_stores,Maynooth,"Dunnes Stores, Manor Mills Shopping Centre, Maynooth, Co. Kildare, W23 K4K8",53.3823339,-6.5941585
dunnes_stores,Blessington,"Dunnes Stores, Saint Joseph's Road, Blessington, Co. Wicklow, W91 T521",53.1729769,-6.5310136
dunnes_stores,Balbriggan,"Dunnes Stores, Castlemill Complex, Hamlet Lane, Balbriggan, Co. Dublin, K32 Y402",53.6129464,-6.206654899999999
dunnes_stores,Newtownmountkennedy,"Dunnes Stores, Newmountkennedy , Town Centre, Newtownmountkennedy, Co. Wicklow, A63 HC78",53.09164089999999,-6.1125493
dunnes_stores,Naas,"Dunnes Stores, North Main St, Naas, Co. Kildare, W91X273",53.21915990000001,-6.6632501
dunnes_stores,Drogheda - Southgate,"Dunnes Stores, Southgate Shopping Centre, Colpe Cross, Drogheda, Co. Louth, A92 EF80",53.7014384,-6.310919999999999
dunnes_stores,Drogheda - Scotch Hall,"Dunnes Stores, Scotch Hall Shopping Centre, Marsh Road, Drogheda, Co. Louth, A92 DK29",53.7137031,-6.345993000000001
dunnes_stores,Drogheda -  Town Ctr,"Dunnes Stores, West St, Drogheda, Co. Louth, A92 TV25",53.7141741,-6.3526095
dunnes_stores,Newbridge SC,"Dunnes Stores, Newbridge Shopping Ctr, Athgarvan Road, Newbridge, Co. Kildare, W12 NW29",53.174881,-6.802493999999999
dunnes_stores,Drogheda - West Street,"Dunnes Stores, 4 West Street, Drogheda, Co. Louth, A92 RK66",53.7147312,-6.350979499999999
dunnes_stores,Navan - Grocery,"Dunnes Stores, Trimgate Street, Navan, Co. Meath, C15 RC65",53.6528479,-6.687303
dunnes_stores,Navan,"Dunnes Stores, Kennedy Road, Navan, Co. Meath, C15 E781",53.6533558,-6.687638
